temperature,is_rainy,is_weekend,promo,orders
28.2,1,1,0,108.0
18.2,0,1,0,83.0
30.8,0,1,0,55.0
25.9,0,1,0,68.0
7.8,1,1,1,159.0
34.3,0,0,0,46.0
27.8,0,1,0,74.0
28.6,0,0,1,97.0
8.8,1,1,1,157.0
18.5,1,1,0,109.0
16.1,0,0,1,93.0
32.8,0,1,1,104.0
24.3,0,0,1,90.0
29.7,1,1,0,111.0
18.3,1,0,0,87.0
11.8,0,0,0,75.0
21.6,0,1,1,125.0
6.9,1,0,1,114.0
29.8,1,1,0,104.0
23.9,0,1,0,81.0
27.7,0,0,0,35.0
15.6,1,0,1,99.0
34.1,1,0,1,91.0
31.8,1,0,1,106.0
28.4,0,0,0,55.0
10.8,0,1,0,97.0
19.0,1,0,0,99.0
6.3,1,1,0,109.0
9.6,1,0,0,91.0
25.5,0,1,0,84.0
27.3,1,1,1,125.0
34.0,0,0,0,50.0
14.8,0,1,0,79.0
16.1,1,0,0,97.0
19.1,1,0,1,107.0
10.7,1,1,0,132.0
8.9,1,1,0,117.0
19.3,0,0,1,101.0
11.8,1,0,0,89.0
25.1,0,0,0,57.0
18.1,0,0,1,89.0
30.0,1,0,0,74.0
26.0,1,0,0,79.0
14.4,1,1,0,106.0
30.0,0,0,0,52.0
29.1,1,1,1,124.0
16.6,0,1,0,108.0
13.6,1,1,0,112.0
25.5,1,0,1,119.0
9.2,1,1,0,115.0
11.0,0,1,0,97.0
5.2,0,0,1,95.0
28.6,0,1,0,76.0
24.9,1,0,0,79.0
26.2,1,1,0,114.0
28.4,0,0,0,56.0
18.8,1,1,0,119.0
22.1,1,0,0,85.0
9.2,0,0,1,115.0
8.4,0,0,1,102.0
25.1,1,0,0,97.0
19.1,1,0,1,109.0
22.0,0,0,0,54.0
27.9,1,0,1,95.0
24.0,1,1,0,122.0
21.6,1,1,0,112.0
21.8,1,1,0,103.0
14.1,1,1,0,122.0
5.9,0,0,1,110.0
18.1,0,0,0,79.0
11.4,0,0,0,57.0
17.3,1,0,0,82.0
30.6,0,0,1,79.0
12.0,0,1,0,78.0
6.7,1,1,0,127.0
13.4,0,1,0,91.0
13.8,0,0,0,73.0
24.9,0,1,1,131.0
21.7,0,0,0,58.0
28.5,0,0,1,81.0
24.9,1,0,0,79.0
17.2,0,1,1,127.0
29.4,0,0,0,49.0
10.0,1,0,1,116.0
5.7,0,0,0,83.0
7.7,1,0,1,126.0
26.7,1,0,0,60.0
18.9,1,0,0,73.0
9.8,0,0,0,83.0
20.0,0,0,0,65.0
9.6,1,0,0,85.0
25.9,0,0,0,55.0
18.4,1,1,0,109.0
16.4,0,0,1,101.0
14.0,0,1,0,82.0
23.9,1,1,0,97.0
15.9,1,0,1,118.0
7.6,1,0,0,92.0
8.5,1,0,1,127.0
33.9,0,0,1,70.0
32.3,1,0,0,74.0
26.0,1,0,1,115.0
13.0,0,0,0,72.0
34.1,0,0,0,50.0
28.4,1,1,0,99.0
26.5,0,0,0,49.0
18.5,1,1,0,108.0
